0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 47, 1, 84, 1, 47, 47, 1, 1, 25, 1, 25, 47, 1, 47, 47, 47, 1, 1, 1, 47, 1, 1, 47, 47, 1, 47, 47, 47, 84, 25, 1, 84, 25, 1, 25, 47, 1, 1, 84, 84, 1, 1, 84, 1, 25, 1, 84, 1, 1, 1, 1, 1, 1, 1, 1, 47, 1, 84, 1, 25, 1, 47, 1, 25, 47, 1, 1, 1, 84, 47, 84, 25, 1, 25, 25, 25, 1, 25, 47, 25, 25, 1, 84
2, 21, 21, 20, 2, 57, 57, 2, 21, 124, 2, 18, 57, 2, 57, 21, 57, 2, 21, 2, 21, 21, 121, 21, 28, 2, 57, 57, 28, 59, 28, 21, 121, 28, 121, 124, 57, 2, 21, 20, 121, 121, 2, 59, 2, 28, 2, 38, 21, 2, 2, 2, 2, 121, 2, 2, 57, 2, 59, 121, 124, 21, 28, 2, 124, 21, 2, 2, 2, 41, 28, 20, 28, 2, 28, 124, 28, 2, 124, 57, 124, 124, 21, 38
3, 84, 3, 18, 3, 1, 84, 3, 3, 1, 3, 47, 84, 3, 84, 84, 84, 3, 3, 3, 84, 3, 70, 84, 1, 3, 84, 84, 1, 124, 1, 3, 70, 1, 3, 1, 84, 3, 84, 18, 70, 70, 3, 124, 3, 1, 3, 70, 84, 3, 3, 3, 3, 70, 3, 3, 84, 3, 124, 3, 1, 3, 1, 3, 1, 84, 3, 3, 3, 18, 1, 18, 1, 3, 1, 1, 1, 3, 1, 84, 1, 1, 3, 18
4, 4, 4, 4, 4, 86, 4, 4, 4, 127, 4, 127, 4, 4, 86, 4, 86, 4, 4, 4, 4, 4, 4, 4, 86, 4, 86, 86, 86, 7, 86, 4, 4, 86, 4, 86, 86, 4, 4, 7, 4, 4, 4, 7, 4, 86, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 86, 4, 7, 4, 86, 4, 86, 4, 86, 4, 4, 4, 4, 7, 86, 4, 86, 4, 86, 86, 86, 4, 86, 86, 86, 86, 4, 4
5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
6, 6, 6, 6, 6, 91, 91, 6, 6, 36, 6, 36, 91, 6, 91, 6, 91, 6, 6, 6, 91, 6, 6, 6, 91, 6, 91, 91, 91, 93, 91, 6, 6, 91, 6, 91, 91, 6, 6, 93, 6, 6, 6, 93, 6, 91, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 91, 6, 93, 6, 36, 6, 91, 6, 36, 6, 6, 6, 6, 93, 91, 93, 91, 6, 91, 91, 91, 6, 36, 91, 91, 91, 6, 6
7, 7, 7, 7, 7, 4, 7, 7, 7, 4, 7, 4, 7, 7, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 4, 4, 79, 4, 7, 7, 4, 7, 4, 4, 7, 7, 7, 7, 7, 7, 79, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 79, 7, 4, 7, 4, 7, 4, 7, 7, 7, 7, 7, 4, 7, 4, 7, 4, 4, 4, 7, 4, 4, 4, 4, 7, 7
8, 119, 8, 92, 8, 119, 119, 8, 8, 61, 8, 61, 119, 8, 119, 8, 119, 8, 8, 8, 119, 8, 8, 119, 119, 8, 119, 119, 119, 92, 119, 8, 92, 61, 8, 61, 119, 8, 8, 92, 8, 8, 8, 92, 8, 119, 8, 92, 8, 8, 8, 8, 8, 8, 8, 8, 119, 8, 92, 8, 61, 8, 119, 8, 61, 119, 8, 8, 8, 92, 119, 92, 119, 8, 61, 61, 119, 8, 61, 119, 61, 61, 8, 92
9, 24, 24, 43, 9, 122, 24, 9, 24, 103, 9, 103, 24, 9, 122, 24, 122, 9, 24, 9, 24, 24, 35, 24, 122, 9, 122, 122, 122, 43, 122, 24, 35, 122, 9, 103, 122, 9, 24, 43, 35, 35, 9, 43, 9, 122, 9, 35, 24, 9, 9, 9, 9, 35, 9, 9, 122, 9, 43, 9, 103, 24, 122, 9, 103, 24, 9, 9, 9, 43, 122, 43, 122, 9, 122, 122, 122, 9, 103, 122, 122, 122, 24, 43
